City,Total Albums,,,,,,,,,,,,,,,,,,,,,,,,
NY/NJ,120,,,,,,,,,,,,,,,,,,,,,,,,
L.A,50,,,,,,,,,,,,,,,,,,,,,,,,
Atl,29,,,,,,,,,,,,,,,,,,,,,,,,
New Orleans,21,,,,,,,,,,,,,,,,,,,,,,,,
Detroit,13,,,,,,,,,,,,,,,,,,,,,,,,
Oakland,13,,,,,,,,,,,,,,,,,,,,,,,,
Houston,10,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland,10,,,,,,,,,,,,,,,,,,,,,,,,
St. Louis,10,,,,,,,,,,,,,,,,,,,,,,,,
Chicago,8,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,8,,,,,,,,,,,,,,,,,,,,,,,,
Philly,6,,,,,,,,,,,,,,,,,,,,,,,,
Toronto,4,,,,,,,,,,,,,,,,,,,,,,,,
Miami,3,,,,,,,,,,,,,,,,,,,,,,,,
Seattle,3,,,,,,,,,,,,,,,,,,,,,,,,
Memphis,3,,,,,,,,,,,,,,,,,,,,,,,,
Dallas,2,,,,,,,,,,,,,,,,,,,,,,,,
Boston,1,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1,,,,,,,,,,,,,,,,,,,,,,,,
Nashville,1,,,,,,,,,,,,,,,,,,,,,,,,
Fayetteville,1,,,,,,,,,,,,,,,,,,,,,,,,
Orlando,1,,,,,,,,,,,,,,,,,,,,,,,,
